Front,Back
Long time no see,خیلی وقته ندیدمت (Kheili vaghte nadidamet)
I have an Instagram or I have an Instagram account,من اینستاگرام دارم (Man Instagram daram)
How’s it going? Can’t complain,How’s it going?: اوضاع چطوره؟ (Ozaa chetore?) Can’t complain: نمی‌تونم گله کنم (Nemitunam gele konam)
I miss you so much,خیلی دلم برات تنگ شده (Kheili delam barat tang shode)
My dad doesn’t go to work,بابام سرکار نمی‌ره (Babam sarekar nemire)
I take out rubbish at 9 o’clock,من زباله‌ها رو ساعت نه بیرون می‌برم (Man zobala-ha ro saat-e noh birun mibaram)
I sleep early at night,من شب‌ها زود می‌خوابم (Man shab-ha zood mikhabam)
I stay awake till morning,من تا صبح بیدار می‌مونم (Man ta sobh bidar mimunam)
I am tired of ## ing,من خسته شدم (Man az ## khaste shodam)
Sanitizer,ضدعفونی‌کننده (Zed-e-ufuni konande)
Give it to me,اون رو به من بده (Oon ro be man bede)
Welcome to our party,به مهمانی ما خوش آمدید (Be mehmani-ye ma khosh amadid)
Swimming pool,استخر (Estakhr)
I’m allergic to something,من به چیزی حساسیت دارم (Man be chizi hasasiat daram)
Its people,مردمش (Mardomesh)
I want to buy a gift for her birthday,می‌خوام برای تولدش یه هدیه بخرم (Mikhvam baraye tavalodesh ye hediye bekharam)
My house is located in Esfahan,خونه‌ام تو اصفهان قرار داره (Khoonam too Esfahan gharar dare)
I want to teach you new things,می‌خوام چیزهای جدید بهت یاد بدم (Mikhvam chizhay-e jadid behet yad bedam)
It’s amazing,این شگفت‌انگیزه (In shegeft-angize)
Listen carefully,با دقت گوش کن (Ba deqqat goosh kon)
He is handsome,او خوش‌تیپه (Ou khosh-tipe)
Uncle مرد‌های فامیل و فرقی نداره,دایی / عمو (Dayi / Amoo)
Auntie,خاله / عمه (Khale / Amme)
Cousin,پسرعمو / پسرخاله / دخترعمو / دخترخاله (Pesar-amoo / Pesar-khale / Dokhtar-amoo / Dokhtar-khale)
Ex-wife or ex-boyfriend,همسر سابق / دوست‌پسر سابق (Hamsar-e sabegh / Doost-pesar-e sabegh)
In-law فامیل همسر,خویشاوندان همسر (Kheishavandan-e hamsar)
He is my stepson or stepmom,او پسرخوانده‌ام / او نامادری‌ام است (Ou pesarkhande-am ast / Ou namadari-am ast)
Grandpa or grandchildren,پدربزرگ / نوه‌ها (Pedarbozorg / Nave-ha)
Niece خواهر زاده,خواهرزاده (Khahar-zade)
Nephew برادر زاده,برادرزاده (Baradar-zade)
Thank you for doing something,تشکر می‌کنم که چیزی انجام دادی (Tashakkor mikonam ke chizi anjam dadi)
Join,پیوستن (Peyvastan)
A place where,جایی است که (Jayi ast ke)
Technical problem,مشکل فنی (Moshkel-e fanni)
I’m just kidding/joking,فقط شوخی می‌کنم (Faghat shokhi mikonam)
Have fun,خوش بگذران (Khosh begzar)
Get on plane,سوار هواپیما شدن (Savar-e havapeyma shodan)
Church,کلیسا (Kelisa)
Pray,دعا کردن (Do’a kardan)
Pray for me,برایم دعا کن (Barayam do’a kon)
Pray to God,به خدا دعا کردن (Be Khoda do’a kardan)
Bookstore,کتاب‌فروشی (Ketabforushi)
It’s a quiet place,اینجا جای آرامی است (Inja jay-e arami ast)
